FID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,Latitude,Longitude,Centroid_l,Total_Numb,Average_Be,Total_Case,Total_Deat,Area,IB,IB_S,AB_S,TC_S,TDC_S
16,1,1779775,0400000US01,1,AL,Alabama,32.7897987,-86.8283997,32.7897987,1637,47.7,185322,2866,135767,1637,0.826564,0.434879,0.200375,0.0866988
26,2,1785533,0400000US02,2,AK,Alaska,64.217598,-152.220993,64.217598,193,38.3,14316,64,1723340,193,0.995098,0.227373,0.013377,0.0001853
34,4,1779777,0400000US04,4,AZ,Arizona,34.2930984,-111.6640015,34.2930984,1882,51.7,239193,5875,295233,1882,0.797969,0.523179,0.259284,0.179604
46,5,68085,0400000US05,5,AR,Arkansas,34.8997002,-92.4393005,34.8997002,914,42.8,106727,1833,137730,914,0.910948,0.326711,0.11443,0.0548042
15,6,1779778,0400000US06,6,CA,California,37.2461014,-119.6110001,37.2461014,8652,53.8,913699,17398,423970,8652,0.0078198,0.569536,0.996869,0.535383
20,8,1779779,0400000US08,8,CO,Colorado,38.9985008,-105.5479965,38.9985008,1363,47.3,97686,2255,269602,1363,0.858543,0.426049,0.104544,0.0678338
49,9,1779780,0400000US09,9,CT,Connecticut,41.6203995,-72.7256012,41.6203995,966,61.1,68099,4589,14357,966,0.904879,0.730684,0.0721897,0.139897
39,10,1779781,0400000US10,10,DE,Delaware,38.9869995,-75.5003967,38.9869995,264,70.9,24168,616,6446,264,0.986811,0.94702,0.0241504,0.0172286
35,11,1702382,0400000US11,11,DC,District of Columbia,38.9047012,-77.0162964,38.9047012,407,73.3,16812,642,177,407,0.970121,1,0.0161064,0.0180314
9,12,294478,0400000US12,12,FL,Florida,28.6284008,-82.4974976,28.6284008,6231,59.2,782005,16448,170304,6231,0.290383,0.688742,0.852859,0.506052
17,13,1705317,0400000US13,13,GA,Georgia,32.6492004,-83.4462967,32.6492004,3123,54.8,364275,7644,153909,3123,0.653128,0.591612,0.396064,0.234223
38,15,1779782,0400000US15,15,HI,Hawaii,20.2546997,-156.3630066,20.2546997,219,54,14858,211,28313,219,0.992063,0.573951,0.0139697,0.004724
8,16,1779783,0400000US16,16,ID,Idaho,44.3890991,-114.6589966,44.3890991,440,37.6,60400,582,216443,440,0.96627,0.211921,0.0637707,0.0161788
28,17,1779784,0400000US17,17,IL,Illinois,40.0649986,-89.1984024,40.0649986,3743,45.8,385084,9811,149994,3743,0.580766,0.392936,0.418819,0.30113
47,18,448508,0400000US18,18,IN,Indiana,39.9081001,-86.2757034,39.9081001,2125,47.9,167010,4143,94327,2125,0.769608,0.439294,0.180351,0.126127
31,19,1779785,0400000US19,19,IA,Iowa,42.0746002,-93.5000992,42.0746002,819,30.4,117198,1657,145744,819,0.922035,0.0529801,0.12588,0.0493701
25,20,481813,0400000US20,20,KS,Kansas,38.4846992,-98.3802032,38.4846992,1300,38,80473,976,213099,1300,0.865896,0.220751,0.0857209,0.0283438
41,21,1779786,0400000US21,21,KY,Kentucky,37.5265999,-85.2903976,37.5265999,1788,46,99965,1480,104656,1788,0.80894,0.397351,0.107036,0.0439052
5,22,1629543,0400000US22,22,LA,Louisiana,31.0583992,-91.9857025,31.0583992,2212,47.9,183802,5854,135658,2212,0.759454,0.439294,0.198713,0.178955
50,23,1779787,0400000US23,23,ME,Maine,45.3713989,-69.2266006,45.3713989,279,53.7,6254,146,91646,279,0.985061,0.567329,0.0045611,0.0027171
37,24,1714934,0400000US24,24,MD,Maryland,39.0368996,-76.7724991,39.0368996,1311,66.9,141334,4099,32131,1311,0.864613,0.85872,0.152274,0.124768
7,25,606926,0400000US25,25,MA,Massachusetts,42.2532997,-71.7985992,42.2532997,1986,66,151777,9881,27363,1986,0.785831,0.838852,0.163693,0.303291
6,26,1779789,0400000US26,26,MI,Michigan,44.3507004,-85.4372025,44.3507004,1986,46.9,179624,7551,250485,1986,0.785831,0.417219,0.194144,0.231351
48,27,662849,0400000US27,27,MN,Minnesota,46.3165016,-94.3089981,46.3165016,1523,38,135425,2406,225163,1523,0.839869,0.220751,0.145812,0.072496
0,28,1779790,0400000US28,28,MS,Mississippi,32.7509003,-89.6651993,32.7509003,1069,43,115763,3263,125433,1069,0.892857,0.331126,0.124311,0.0989564
19,29,1779791,0400000US29,29,MO,Missouri,38.3675995,-92.4774017,38.3675995,2170,49,177729,2869,180540,2170,0.764356,0.463576,0.192072,0.0867914
30,30,767982,0400000US30,30,MT,Montana,47.0335007,-109.6449966,47.0335007,335,47,28580,304,380832,335,0.978525,0.419426,0.028975,0.0075954
10,31,1779792,0400000US31,31,NE,Nebraska,41.5270996,-99.8107986,41.5270996,782,30,64506,609,200330,782,0.926354,0.0441501,0.0682607,0.0170125
27,32,1779793,0400000US32,32,NV,Nevada,39.3562012,-116.6549988,39.3562012,1015,54,96330,1751,286380,1015,0.89916,0.573951,0.103061,0.0522724
33,33,1779794,0400000US33,33,NH,New Hampshire,43.6856003,-71.5775986,43.6856003,278,57,10397,475,24214,278,0.985177,0.640177,0.0090915,0.0128751
36,34,1779795,0400000US34,34,NJ,New Jersey,40.1843987,-74.6607971,40.1843987,1758,66,229473,14461,22590,1758,0.812442,0.838852,0.248655,0.444702
12,35,897535,0400000US35,35,NM,New Mexico,34.4213982,-106.1080017,34.4213982,468,43,42586,976,314917,468,0.963002,0.331126,0.0442908,0.0283438
24,36,1779796,0400000US36,36,NY,New York,42.9403992,-75.5030975,42.9403992,4230,63,501393,32446,141300,4230,0.523926,0.772627,0.546005,1
1,37,1027616,0400000US37,37,NC,North Carolina,35.5415001,-79.3723984,35.5415001,2648,55,262159,4200,139390,2648,0.708567,0.596026,0.284398,0.127887
45,38,1779797,0400000US38,38,ND,North Dakota,47.4463005,-100.4690018,47.4463005,516,37,38246,466,183272,516,0.9574,0.198675,0.0395449,0.0125973
42,39,1085497,0400000US39,39,OH,Ohio,40.2914009,-82.7901001,40.2914009,3731,50,200231,5217,116096,3731,0.582166,0.485651,0.216679,0.159287
2,40,1102857,0400000US40,40,OK,Oklahoma,35.5834999,-97.5083008,35.5834999,1475,42,117399,1251,181038,1475,0.845472,0.309051,0.1261,0.0368346
44,41,1155107,0400000US41,41,OR,Oregon,43.9365997,-120.5550003,43.9365997,838,50,42454,657,254800,838,0.919818,0.485651,0.0441464,0.0184945
18,42,1779798,0400000US42,42,PA,Pennsylvania,40.8737984,-77.7995987,40.8737984,3929,54,201248,8737,119283,3929,0.559057,0.573951,0.217791,0.26797
40,44,1219835,0400000US44,44,RI,Rhode Island,41.6761017,-71.5535965,41.6761017,375,53,31024,1184,3999,375,0.973856,0.551876,0.0316475,0.034766
32,45,1779799,0400000US45,45,SC,South Carolina,33.9080009,-80.8961029,33.9080009,1253,53,171501,3823,82931,1253,0.871382,0.551876,0.185262,0.116247
13,46,1785534,0400000US46,46,SD,South Dakota,44.4361992,-100.2300034,44.4361992,392,28,39741,375,199730,392,0.971872,0,0.0411797,0.0097876
22,47,1325873,0400000US47,47,TN,Tennessee,35.8429985,-86.343399,35.8429985,2364,49,245760,3132,109247,2364,0.741713,0.463576,0.266465,0.0949117
14,48,1779801,0400000US48,48,TX,Texas,31.4845009,-99.3507004,31.4845009,8719,48,916562,16963,695662,8719,0,0.441501,1,0.521953
21,49,1455989,0400000US49,49,UT,Utah,39.3237991,-111.6780014,39.3237991,716,42,106083,575,219882,716,0.934057,0.309051,0.113726,0.0159627
29,50,1779802,0400000US50,50,VT,Vermont,44.0751991,-72.6626968,44.0751991,151,61,2083,58,24923,151,1,0.728477,0,0
3,51,1779803,0400000US51,51,VA,Virginia,37.5149994,-78.8122025,37.5149994,2022,55,174275,3581,110786,2022,0.781629,0.596026,0.188295,0.108775
11,53,1779804,0400000US53,53,WA,Washington,47.3810005,-120.4469986,47.3810005,1685,55,108393,2428,184661,1685,0.820962,0.596026,0.116252,0.0731753
4,54,1779805,0400000US54,54,WV,West Virginia,38.642601,-80.6137009,38.642601,677,48,22223,424,62755,677,0.938609,0.441501,0.0220235,0.0113005
43,55,1779806,0400000US55,55,WI,Wisconsin,44.6380005,-90.0117035,44.6380005,1586,41.7,212116,1825,169634,1586,0.832516,0.302428,0.229675,0.0545572
23,56,1779807,0400000US56,56,WY,Wyoming,42.9995995,-107.5510025,42.9995995,1069,54.1,11477,77,253334,1069,0.892857,0.576159,0.0102725,0.0005866
